,id,Easy,Medium,Hard
0,0,2.374999571,0.601692343,1.790609237
1,1,2.69002238,2.194550566,0.525673505
2,2,2.374999571,1.593218818,0.799082762
3,3,0.305532011,0.062707762,0.253260701
4,4,2.123438544,2.194550566,-0.060675571
5,5,1.901884624,2.584745293,-0.677165317
6,6,3.186437636,1.593218818,1.668391194
7,7,3.186437636,2.584745293,0.676864719
8,8,3.186437636,2.194550566,1.067059446
9,9,3.186437636,2.194550566,1.067059446
10,10,3.186437636,2.584745293,0.676864719
11,11,1.062999092,0.99188707,0.060675571
12,12,2.321132109,2.396304485,0
13,13,1.824716853,2.396304485,-0.54138594
14,14,1.006468468,1.21621419,-0.192443713
15,15,1.901884624,1.880614295,0.026965681
